target_symbol,uniprot_accession_number,clonality,clone_id,method,tissue_preservation,avr_pdf_filename,antibody_hubmap_id,host,rrid,catalog_number,lot_number,vendor_name,recombinant,organ,author_orcids,hgnc_id,isotype,concentration_value,dilution_factor,conjugate,cycle_number,fluorescent_reporter,manuscript_doi,protocol_doi,vendor_affiliation,organ_uberon_id,antigen_retrieval,omap_id,created_by_user_email,previous_version_id,next_version_id
FOXP3,Q9BZS1,monoclonal,REA1253,MICS,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff6202e1e3b95291548d21f7159f97/FOXP3_AVR_OMAP10.pdf,HBM845.SMGM.542,Human,AB_2889670,130-125-587,,Miltenyi Biotec,Yes,palatine tonsil,0000-0002-1297-9725,HGNC:6106,IgG1,,50,PE,11,,,10.1038/s41598-022-05841-4,Miltenyi Biotec,UBERON:0002373,,OMAP-10,ellenmq@iu.edu,,
CD209,Q9NNX6,monoclonal,9E9A8,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff799dfb4450c8f3b27a5de22cd830/DC-SIGN_OMAP1.pdf,HBM736.RPSC.469,Mouse,AB_1186092,330112,B211206,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:1641,IgG2a kappa,10,,AF647,7,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
CD4,P01730,monoclonal,RPA-T4,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/fffffc1cc550676416df5f206662bd47/CD4_OMAP1.pdf,HBM759.BKRB.327,Mouse,AB_2802361,58-0049-42,2103160,Thermo Fisher Scientific,No,lymph node,0000-0003-4379-8967,HGNC:1678,IgG1 kappa,4,,AF532,4,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
ICOS,Q9Y6W8,monoclonal,CS98.4A,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff5b2b437e42b7f5bdd0f358ce2863/ICOS_OMAP1.pdf,HBM795.RGKB.765,Armenian hamster,AB_2122584,313514,B265734,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:5351,IgG,10,,AF488,5,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
BCL2,P10415,monoclonal,REA872,MICS,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff1d26bb88a229de46d4668cf4660b/BCL2_AVR_OMAP10.pdf,HBM284.DVVN.425,Human,AB_2726569,130-114-337,,Miltenyi Biotec,Yes,palatine tonsil,0000-0002-1297-9725,HGNC:990,IgG1,,50,FITC,2,,,10.1038/s41598-022-05841-4,Miltenyi Biotec,UBERON:0002373,,OMAP-10,ellenmq@iu.edu,,
CD3E,P07766,monoclonal,UCHT1,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff99c0b41bcb2f4cca52111c0fb87a/CD3_OMAP1.pdf,HBM373.XCQX.487,Mouse,AB_2563236,300446,B300588,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:1674,IgG1,2.5,,AF594,1,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
HLA-DRA,P01903,monoclonal,L243,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff25d2da6cd485df6d37e1271503a7/HLA-DR_OMAP1.pdf,HBM284.KJND.365,Mouse,AB_493175,307620,B271228,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:4947,IgG2a kappa,2,,AF488,3,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
KLRD1,Q13241,monoclonal,DX22,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff5514d9db8f9c86795842bb76d791/CD94_OMAP1.pdf,HBM323.FKGB.335,Mouse,AB_314536,305506,B224156,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:6378,IgG1 kappa,2,,AF488,9,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
LYVE1,Q9Y5Y7,polyclonal,,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff36228f095fe1fed60e24b0db7057/LYVE1_OMAP1.pdf,HBM498.TMLL.776,Goat,AB_2892756,AF2089,KPY0117111041619AF532,R&D Systems,No,lymph node,0000-0003-4379-8967,HGNC:14687,IgG,10,,AF532,6,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
IRF4,Q15306,monoclonal,IRF4.3E4,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff7a3c9ed3aaf50c6aa4cfa2bf1dc7/IRF4_OMAP1.pdf,HBM286.PSSB.277,Rat,AB_2563005,646404,B256112,BioLegend,No,lymph node,0000-0003-4379-8967,HGNC:6119,IgG1,10,,PE,7,,,"10.1038/s41596-021-00644-9,10.1073/pnas.2018488117",,UBERON:0000029,,OMAP-1,ellenmq@iu.edu,,
